Feature,Normalized.Dispersion
ENSG00000187634,0.20132317205963024
ENSG00000188976,-1.2912836012290985
ENSG00000187961,0.7749976882977117
ENSG00000187583,-1.0940816497597603
ENSG00000187642,1.419234765012214
ENSG00000188290,2.698256109554156
ENSG00000187608,1.4603474688463567
ENSG00000188157,-0.6758215288351894
ENSG00000237330,-0.7505725184091401
ENSG00000131591,-2.44556844330434
ENSG00000162571,1.0823645069106769
ENSG00000186891,-0.25069336922293983
ENSG00000186827,-0.1446311669699355
ENSG00000078808,-0.8819248326980854
ENSG00000176022,0.324477575686826
ENSG00000184163,-1.2482961133843455
ENSG00000160087,-1.0210069843313063
ENSG00000162572,0.6173877857976354
ENSG00000131584,1.4469258827360083
ENSG00000169972,-1.9502563855081714
ENSG00000127054,0.02843205379493022
ENSG00000224051,-0.08496480784014314
ENSG00000169962,-0.6627016738582213
ENSG00000107404,3.2321306383948953
ENSG00000162576,5.81845019946671
ENSG00000175756,-0.7886826547438556
ENSG00000221978,-1.6469231013603178
ENSG00000235098,1.2810765197760372
ENSG00000205116,41.14226867128723
ENSG00000179403,0.29729822816283036
ENSG00000215915,-0.19856748886806738
ENSG00000160072,-0.7310681115777906
ENSG00000197785,-0.908628214185106
ENSG00000205090,0.6042029729024705
ENSG00000160075,0.06330594769690429
ENSG00000228594,7.644360006087365
ENSG00000197530,0.5107628730503609
ENSG00000189409,0.8776345153352644
ENSG00000248333,-0.1573978559272307
ENSG00000008128,11.32871009949675
ENSG00000008130,3.4687947783595265
ENSG00000078369,-1.181564936323837
ENSG00000169885,-1.5335445438383657
ENSG00000178821,0.3507272383013124
ENSG00000142609,1.2594442635555831
ENSG00000187730,-1.3315196320576828
ENSG00000067606,1.218635234132495
ENSG00000162585,1.8634531695678715
ENSG00000157933,0.9449087116375392
ENSG00000157916,-0.15716023769006102
ENSG00000157911,-0.7922701661361267
ENSG00000149527,-0.3447987467974097
ENSG00000157881,-0.12815354748528077
ENSG00000197921,-0.819053296359061
ENSG00000157873,4.487183399041588
ENSG00000157870,0.020926943710779817
ENSG00000142606,32.45013965743092
ENSG00000169717,-1.3966820618756488
ENSG00000142611,3.130401730714005
ENSG00000130762,-1.5418661917850218
ENSG00000162591,6.689690814597148
ENSG00000158109,3.5281032527220964
ENSG00000116213,0.046647474708950774
ENSG00000078900,-0.5840225869258108
ENSG00000162592,-0.17463188713658342
ENSG00000235169,-1.0433142951483854
