Feature
1,ENSG00000244752
2,ENSG00000163958
3,ENSG00000204640
4,ENSG00000261341
5,ENSG00000163157
6,ENSG00000161133
7,ENSG00000154529
8,ENSG00000165548
9,ENSG00000179750
10,ENSG00000205111
11,ENSG00000104408
12,ENSG00000104889
13,ENSG00000166869
14,ENSG00000183145
15,ENSG00000140623
16,ENSG00000174021
17,ENSG00000286070
18,ENSG00000197977
19,ENSG00000105131
20,ENSG00000137876
21,ENSG00000129810
22,ENSG00000181666
23,ENSG00000197808
24,ENSG00000075886
25,ENSG00000147117
26,ENSG00000275464
27,ENSG00000106399
28,ENSG00000116675
29,ENSG00000088305
30,ENSG00000173915
31,ENSG00000186197
32,ENSG00000164362
33,ENSG00000137760
34,ENSG00000196218
35,ENSG00000100167
36,ENSG00000163684
37,ENSG00000182264
38,ENSG00000196247
39,ENSG00000132781
40,ENSG00000188580
41,ENSG00000101850
42,ENSG00000088726
43,ENSG00000077935
44,ENSG00000063180
45,ENSG00000186787
46,ENSG00000003096
47,ENSG00000165028
48,ENSG00000169169
49,ENSG00000100206
50,ENSG00000086991
51,ENSG00000142149
52,ENSG00000066230
53,ENSG00000163207
54,ENSG00000147003
55,ENSG00000040275
56,ENSG00000241563
57,ENSG00000046653
58,ENSG00000144730
59,ENSG00000170209
60,ENSG00000182628
61,ENSG00000102100
62,ENSG00000095787
63,ENSG00000130234
64,ENSG00000277149
65,ENSG00000186501
66,ENSG00000130751
67,ENSG00000101049
68,ENSG00000106714
69,ENSG00000175003
70,ENSG00000203782
71,ENSG00000187957
72,ENSG00000125337
73,ENSG00000084710
74,ENSG00000177380
75,ENSG00000110536
76,ENSG00000109758
77,ENSG00000100053
78,ENSG00000134825
79,ENSG00000137225
80,ENSG00000054356
81,ENSG00000011332
82,ENSG00000183019
83,ENSG00000215277
84,ENSG00000103089
85,ENSG00000197472
86,ENSG00000171124
87,ENSG00000131591
88,ENSG00000100028
89,ENSG00000084623
90,ENSG00000167964
91,ENSG00000158301
92,ENSG00000146856
93,ENSG00000204128
94,ENSG00000165125
95,ENSG00000102003
96,ENSG00000165775
97,ENSG00000099960
98,ENSG00000164749
99,ENSG00000186777
100,ENSG00000105146
101,ENSG00000167380
102,ENSG00000125779
103,ENSG00000144821
104,ENSG00000159450
105,ENSG00000157399
106,ENSG00000135097
107,ENSG00000205323
108,ENSG00000104904
109,ENSG00000101342
110,ENSG00000278023
111,ENSG00000156395
112,ENSG00000135002
113,ENSG00000234828
114,ENSG00000167550
115,ENSG00000175426
116,ENSG00000144792
117,ENSG00000198182
118,ENSG00000128050
119,ENSG00000197050
120,ENSG00000159882
121,ENSG00000102174
122,ENSG00000196335
123,ENSG00000213471
124,ENSG00000104804
125,ENSG00000157680
126,ENSG00000146938
127,ENSG00000162398
128,ENSG00000117425
129,ENSG00000141527
130,ENSG00000133134
131,ENSG00000123570
132,ENSG00000198838
133,ENSG00000234465
134,ENSG00000162341
135,ENSG00000135248
136,ENSG00000196660
137,ENSG00000149658
138,ENSG00000184831
139,ENSG00000011677
140,ENSG00000064300
141,ENSG00000204930
142,ENSG00000186204
143,ENSG00000145087
144,ENSG00000123416
145,ENSG00000133124
146,ENSG00000144554
147,ENSG00000104892
148,ENSG00000185880
149,ENSG00000135637
150,ENSG00000226887
151,ENSG00000156697
152,ENSG00000130305
153,ENSG00000132016
154,ENSG00000257008
155,ENSG00000115616
156,ENSG00000099957
157,ENSG00000179873
158,ENSG00000158488
159,ENSG00000158571
160,ENSG00000109101
161,ENSG00000108242
162,ENSG00000166736
163,ENSG00000125657
164,ENSG00000147804
165,ENSG00000175785
166,ENSG00000172818
167,ENSG00000143727
168,ENSG00000130935
169,ENSG00000132780
170,ENSG00000251192
171,ENSG00000129354
172,ENSG00000138483
173,ENSG00000244588
174,ENSG00000007171
175,ENSG00000109738
176,ENSG00000186871
177,ENSG00000146243
178,ENSG00000204856
179,ENSG00000092445
180,ENSG00000204869
181,ENSG00000204396
182,ENSG00000197632
183,ENSG00000163216
184,ENSG00000182004
185,ENSG00000120088
186,ENSG00000255398
187,ENSG00000101132
188,ENSG00000132932
189,ENSG00000101842
190,ENSG00000101977
191,ENSG00000166173
192,ENSG00000214376
193,ENSG00000163645
194,ENSG00000136688
